id,caller_id,company,recipient,age,country,product_sold,quantity
1,40,Verbruggen-Vermeulen CommV,Anny Claessens,45,Belgium,Banner,50
2,17,Hendrickx CV,Lutgarde Van Loock,41,Belgium,Sign,23
3,63,Buysse-Van Dessel VOF,Georges Jacobs,22,Belgium,Scanner,48
4,65,Heremans VOF,Josephus Torfs Lemmens,45,Belgium,Desktop,36
5,15,Koninklijke Aelftrud van Wessex,Mustafa Ehlert,34,Netherlands,Headset,1
6,19,Ardagh Group,Mila Adriaense-Maas,30,Netherlands,Billboard,31
7,20,"Claessens, Verfaillie en Dewulf CommV",Hasan Claeys,60,Belgium,Social Media Ad,48
8,97,Schenk Kohl e.V.,Irmela Dörschner B.A.,60,Germany,Scanner,4
9,42,Brizee BV,Olaf van Beek,53,Netherlands,Printer,41
10,79,de Ruiter Groep,Tom van Dooren-van der Ven,38,Netherlands,Scanner,14
11,45,"Smits, Goris en Hendrickx CommV",Alina Cuypers,27,Belgium,Business Card,27
12,92,Moenen & Ponci,Keano Beernink,50,Netherlands,Business Card,14
13,10,Martens VOF,Jill Desmet,40,Belgium,Banner,37
14,7,Aalts NV,Sil Slagmolen,31,Netherlands,Business Card,13
15,1,Textor KG,Klaus Peter Johann,32,Germany,Brochure,14
16,36,van de Coterlet & Vertoor,Elisabeth Perck,54,Netherlands,Website Design,12
17,20,Bruder Fröhlich GmbH & Co. KG,Ada Neureuther,50,Germany,Brochure,15
18,24,van der Ven Groep,Jason de Beer,36,Netherlands,Website Design,10
19,12,Demuynck-Vrancken CV,Camille Wuyts,46,Belgium,Monitor,9
20,94,"Celis, Van Campenhout en Dewulf BV",Liliane Moerman,33,Belgium,Social Media Ad,12
21,26,Greenchoice,Jennifer Chevresson-van der Loo,45,Netherlands,Business Card,32
22,23,Stichting Hoogers,Emily Perck,25,Netherlands,Headset,19
23,66,Schaaf Haase GbR,Anni Weiß,51,Germany,Brochure,10
24,77,Etzold,Gotthilf Weinhold,49,Germany,Monitor,32
25,59,"Bonte, Goovaerts en Van de Velde CommV",Leon De Wilde,33,Belgium,Headset,18
26,12,Royal van Dokkum,Luna Manne,57,Netherlands,Billboard,20
27,3,Langern Stiftung & Co. KGaA,Marten Täsche,56,Germany,Webcam,42
28,42,Zorbach Beckmann AG,Regina Speer,21,Germany,Webcam,15
29,55,Striebitz Jockel AG & Co. KGaA,Dr. Tony Christoph MBA.,54,Germany,Billboard,29
30,9,Nette AG & Co. OHG,Univ.Prof. Otmar Lübs,44,Germany,Headset,6
31,26,Seidel Hörle KG,Wilfriede Neuschäfer,26,Germany,Social Media Ad,3
32,76,Capgemini,Dion Meeusen,53,Netherlands,Monitor,9
33,25,"Verstraete, De Decker en De Mulder VOF",Victor Rombouts,59,Belgium,Brochure,8
34,93,Eberth Biggen KGaA,Dina Rose,43,Germany,Sign,11
35,60,Stichting van Rijnsbergen,Lieve Lafleur,30,Netherlands,Keyboard,10
36,14,Fiebig OHG mbH,Andrei Ullrich,57,Germany,Social Media Ad,48
37,67,Stumpf AG,Raisa Köhler,41,Germany,Brochure,34
38,1,Weihmann AG,Volkmar Eberth,27,Germany,Flyer,25
39,9,Knappe,Amalia Trüb B.A.,34,Germany,Keyboard,26
40,58,van Jumiège Groep,Mia Tins-Unruoch Hunerik,19,Netherlands,Logo Design,45
41,43,Buysse NV,Christine Mertens,19,Belgium,Website Design,32
42,94,Matthäi Eimer e.G.,Herr Vittorio Reising MBA.,29,Germany,Desktop,41
43,28,Schleich,Pietro Hering MBA.,19,Germany,Banner,26
44,75,Hendriks Stahr GmbH & Co. KG,Oda Wähner,59,Germany,Brochure,33
45,42,TomTom,Lucas Gerrits,45,Netherlands,Router,21
46,81,de Bont NV,Elin de Beer-de Leeuw,56,Netherlands,Mouse,12
47,85,Strukton,Arie Gemen,36,Netherlands,Logo Design,2
48,23,Schlosser,Salih Lange,43,Germany,Router,50
49,5,"Vandaele, Vermeulen en Bogaerts NV",Jacqueline Lemmens,51,Belgium,Headset,26
50,72,Wernecke,Gitta Knappe MBA.,50,Germany,Headset,26
51,75,van Buuren & van Ommeren,Koen van der Leek,19,Netherlands,Social Media Ad,40
52,3,Köhler Müller Stiftung & Co. KGaA,Friederike Johann,33,Germany,Website Design,40
53,90,Hermann Paffrath e.G.,Patrizia Ehlert MBA.,19,Germany,Printer,9
54,56,Mosemann GbR,Ingolf Baum B.Sc.,41,Germany,Logo Design,42
55,2,Ouwel & van Formbach,Olivia Neuteboom-de Haan,27,Netherlands,Website Design,45
56,71,Royal Coenen,Dana de Smit-Gerrits,40,Netherlands,Desktop,42
57,25,"Horemans, Verstraeten en Van Herck CV",Koen Wouters,29,Belgium,Social Media Ad,26
58,59,Staples Nederland,Elisabeth de Mol,38,Netherlands,Webcam,42
59,94,auch Schlauchin Bohlander GmbH,Katarzyna Zimmer,52,Germany,Business Card,46
60,59,Knappe,Univ.Prof. Maja Scheuermann B.A.,54,Germany,Poster,19
61,58,Heintze Heuser AG,Ing. Hans-Dieter Henschel,34,Germany,Poster,45
62,37,Reynaert VOF,Zoë De Graeve,42,Belgium,Mouse,25
