name,area,company,repeat_sales,total_sales,customer_loyalty_score
Jolie Tillmanno,Games,Reijers & de Keijzer,1,44052.15,44052.15
Vera Wolters,IT,Hesse,1,63660.33,63660.33
Vera Wolters,IT,Andries CV,1,63660.33,63660.33
Noah Schellekens,IT,Paffrath,1,49655.4,49655.4
Phileine Stamrood,Games,Hettner e.G.,1,50421.79,50421.79
Azra de Grunt,Marketing,BMC,1,96145.23,96145.23
Joris le Luc,Games,van Oostendorp NV,1,49599.19,49599.19
Emily Coreth von und zu Coredo und Starkenberg,Finance,Steckel,1,44127.39,44127.39
Vajèn Willems-Adriaensdr,Games,Renner OHG mbH,1,65506.6,65506.6
Vajèn Willems-Adriaensdr,Games,Boucsein Zahn AG & Co. KG,1,65506.6,65506.6
Jesper Niermann,Finance,Stichting van Metz,1,53690.67,53690.67
Jesper Niermann,Finance,van Lucel BV,1,53690.67,53690.67
Isabel Heribert van Laon,IT,"De Bie, Verschueren en Bauwens NV",1,75313.03,75313.03
Bradley de Lange,Games,Weinhage Atzler GmbH,1,74206.82,74206.82
Zeynep Greij,Finance,Jacobs VOF,1,40895.58,40895.58
Angelina Eijkelboom,Finance,Bolnbach Bolzmann GmbH,1,98237.0,98237.0
Lola van der Noot,HR,Ullrich,1,96114.92,96114.92
Luca Sprong-Brievingh,Games,Klotz Beer KGaA,1,46029.36,46029.36
Gijs Ghoerle-van der Leek,HR,Dippel,1,84489.53,84489.53
Alexander van Ooyen-Arnold,IT,Franke,1,93859.22,93859.22
Carlijn Jacquot,IT,Jochems & Jansen,1,67743.27,67743.27
Amy Chrodtrud,Finance,Boone-Van Praet BV,1,93885.31,93885.31
Luuk Pratt,IT,Verdonck-Matthys CV,1,97823.41,97823.41
Daniel Rietveld,Finance,Moerman CommV,1,89974.0,89974.0
Merel Rippey,HR,"Blondeel, Lambrechts en Simons CommV",1,44297.19,44297.19
Merel Rippey,HR,Jopich GmbH,1,44297.19,44297.19
Merel Rippey,HR,"Matthys, Vercammen en Dekeyser VOF",1,44297.19,44297.19
Jan François,HR,Neirynck-Vandewalle VOF,1,72432.18,72432.18
Azra Claesner,Marketing,Holsten,1,48783.07,48783.07
Luka Honing-Velderman,Marketing,"Driesen, Jacobs en Janssens CommV",1,73967.46,73967.46
Benjamin van Laon,Games,Kriens BV,1,72307.82,72307.82
Benjamin van Laon,Games,Schenk Mielcarek GmbH & Co. OHG,1,72307.82,72307.82
Riley Blokland-Kleibrink,HR,De Baets-Jacobs VOF,1,57514.03,57514.03
Dean Frankhuizen,Finance,Desmet CV,1,30551.74,30551.74
Mara van der Ven,Marketing,Bruggeman CV,1,41276.75,41276.75
Dylan Kok-Kerkhof,IT,"Van Hove, Blondeel en Galle BV",1,94432.14,94432.14
Laura Beijring-Broek,Marketing,Schönland,1,53837.12,53837.12
Laura Beijring-Broek,Marketing,Royal Verheuvel,1,53837.12,53837.12
Koen van Evelingen,IT,"Declercq, Van Hulle en Peeters CV",1,36978.84,36978.84
Selena Laffray,HR,Texier BV,1,72794.05,72794.05
Maja van Salmen,Games,"Everaert, De Smedt en De Clerck CommV",1,42697.17,42697.17
Maurits de Pauw-van de Velde,Marketing,Hemma van Allemanië & van de Kooij,1,61740.16,61740.16
Mohammed de Mol,Marketing,"Simons, Merckx en Meeus BV",1,76689.04,76689.04
Luuk Arens,Finance,Holland & Barrett,1,46664.52,46664.52
Sep Cant-Vandenbergh,IT,Gerlach,1,57751.6,57751.6
Faas Haring,Finance,Stichting ter Waarbeek,1,43985.41,43985.41
Faas Haring,Finance,Hondeveld Groep,1,43985.41,43985.41
Faas Haring,Finance,Depuydt-Feys CommV,1,43985.41,43985.41
Phileine Stamrood,Games,Bähr AG & Co. OHG,1,50421.79,50421.79
Aron Roukes,IT,Visser & Zwijsen,1,75983.52,75983.52
Azra de Grunt,Marketing,Royal Mahieu,1,96145.23,96145.23
Azra de Grunt,Marketing,Rogner GmbH & Co. KG,1,96145.23,96145.23
Vajèn Willems-Adriaensdr,Games,Mude Beckmann Stiftung & Co. KGaA,1,65506.6,65506.6
Lorenzo Goderts,Finance,Dowerg Sauer AG,1,96820.43,96820.43
Thijs Gruijl,Marketing,Ahmed-Tack NV,1,84178.45,84178.45
Maartje Vandenbergh,HR,Keudel Striebitz e.V.,1,44414.67,44414.67
