id,area,calls_made,calls_successful,name,address,sales_amount
39,IT,70,54,Ali Hollander,"6805 VT, Oosterwijtwerd",99653.96
349,IT,87,45,Hendrik de Keijser,"5472 YM, Zwagerbosch",99333.34
617,IT,44,22,Dylano van Haspengouw Hesbaye-de Koning,"8803 OK, Amerongen",99218.01
907,IT,67,44,Hidde van Grondelle,"3897 OP, De Groeve",98566.79
982,IT,60,57,Puck Tins,"Aidensteeg 81, 4488 CE, Achterveld",98552.73
763,IT,53,37,Mare Gellemeyer,"2211 YL, Appelscha",98367.37
463,IT,44,23,Zoë Mercks,"Lisepad 8, 3763 PO, Winschoten",98292.69
194,IT,64,50,Pepijn Olthof,"Evadreef 37, 2493 RV, Nijeholtwolde",98182.4
454,IT,58,32,Wout van het Heerenveen-van Schweinfurt,"8604 UO, Laren",98101.89
786,IT,23,12,Florian Wilcken,"Nathansingel 99, 6891 SN, Oudwoude",97885.33
51,IT,46,31,Luuk Pratt,"Pienlaan 5, 7356 GF, Kerkdriel",97823.41
779,IT,75,38,Hannah van den Heuvel,"1492 LZ, Spanbroek",97767.74
561,IT,92,79,Jonas Wutke,"1804 JN, Ohé en Laak",97673.92
373,IT,5,2,Sarah van den Broek,"Robinstraat 708, 1232 LC, Maasbommel",95991.28
892,IT,27,18,Giel Schwartsbach,"Linnbaan 88, 3053 NW, Parrega",95911.0
243,IT,53,30,Noortje Dekker,"Mikering 34, 9750 IW, Heveadorp",95600.68
686,IT,40,37,Mason Bastiaanse,"Tieslaan 964, 8483 KE, Zwolle",94986.74
824,IT,35,28,Eline Nek,"Xavisingel 17, 1542 RV, Itens",94978.37
443,IT,54,47,Kevin de Wit,"5418 FU, Tjerkgaast",94939.83
437,IT,8,5,Noëlle Verhagen-Spruyt,"Dylanosingel 182, 6447 KF, Ter Aard",94785.15
909,IT,56,29,Max Eerden,"Elisabaan 94, 3404 QM, Overdinkel",94735.65
56,IT,53,32,Noah Speijer,"Ceylinpad 0, 2862 MH, Katwijk",94710.36
71,IT,64,40,Dylan Kok-Kerkhof,"Fienring 990, 7936 TJ, Made",94432.14
170,IT,12,10,Esila Janssen,"3680 HU, Wijnaldum",94016.35
124,IT,14,11,Lize van der Maath-Schrant,"Rickpad 001, 2566 MF, Bleiswijk",94004.93
248,IT,44,31,Dave Scharroo-van der Mast,"1848 AH, Naarden",93888.5
47,IT,45,42,Alexander van Ooyen-Arnold,"Sarahbaan 8, 5950 XM, Tienhoven",93859.22
878,IT,50,37,Renske Waardeloo-van Breugel,"6392 MJ, Knegsel",93452.7
174,IT,73,46,Indy van der Horst-Salet,"7860 ZM, Mariënberg",93396.57
204,IT,95,60,Alicia de Vroege,"Elineweg 857, 9102 IZ, Miedum",93277.57
393,IT,38,30,Mila Huurdeman-Molegraaf,"9323 DA, Heijningen",91850.16
398,IT,82,77,Dean Westerbeek,"2425 LC, Den Burg",91569.5
426,IT,22,19,Aaliyah Jeggij,"Milolaan 219, 4299 RD, Guttecoven",91420.58
154,IT,91,74,Tirza van Leuven-de Bruin,"Pietersteeg 326, 7140 FP, 's-Gravendeel",91177.51
271,IT,89,66,Julie Risma,"3481 KH, Nieuwlande Coevorden",90994.43
374,IT,43,39,Fleur Pasman,"7178 AD, Munstergeleen",89460.5
369,IT,72,46,Floris Perrono-Zijlmans,"6462 LV, Rijpwetering",89411.94
994,IT,52,29,Victoria Schiffer,"Mialaan 226, 9780 GJ, Den Dolder",89107.06
555,IT,22,11,Robin Palman-Smith,"Yassinboulevard 7, 6961 CQ, Sint Maarten",88980.04
486,IT,82,72,Romy Slagmolen,"Johannespad 827, 7601 IY, Terneuzen",88904.39
141,IT,31,18,Sylvie van der Velden,"Woutlaan 9, 7571 TN, Wirdum",88257.05
917,IT,66,42,Saar Eerden,"1754 EE, Veldhoven",87928.38
424,IT,16,9,Liza van der Linden,"Saarweg 5, 6458 GP, Hilvarenbeek",87700.35
671,IT,79,57,Lisa van de Wal-François,"5871 BD, Leermens",86741.06
159,IT,80,76,Amy Roessink-van Beieren,"5148 ZF, Vleuten",86228.9
479,IT,7,6,Elize Weyland,"Janlaan 4, 3319 GW, Rijs",85860.71
852,IT,8,5,Noud van Goerle,"6360 MF, De Wilp",85799.84
18,IT,60,37,Charlotte Belpere,"9040 DW, Nijkerkerveen",85633.32
495,IT,86,81,Joshua Olykan,"Elisabethstraat 98, 5915 CF, Kloetinge",85253.55
197,IT,65,45,Cato van der Velden,"Jesperlaan 362, 5618 DT, Jubbega",85219.93
517,IT,58,48,Naud de Man-Evers,"Elizabethweg 7, 4151 AA, Beuningen",85162.45
861,IT,97,50,Joep Sas-Speijer,"7093 FT, Voorburg",84900.48
108,IT,85,44,Sophia ter Waarbeek,"Stijndreef 6, 9288 XU, Plasmolen",84662.25
488,IT,58,43,Danique van der Linden,"Teunlaan 4, 6407 BF, Ballum",84648.41
614,IT,35,20,Jari Bosch,"Willemstraat 47, 5368 VV, Lith",84501.68
275,IT,52,47,Hailey van Dam-Kalman,"Maralaan 262, 5376 GP, Nieuw-Weerdinge",83334.57
423,IT,93,68,Cornelis Aeije,"Kickdreef 29, 1759 YC, Valburg",83156.27
347,IT,34,31,Fleur Verbeek,"Kianboulevard 2, 7471 ZB, Hoogmade",82320.59
557,IT,93,53,Sienna Roukes-van Suinvorde,"5338 EB, Ansen",81978.41
358,IT,57,43,Daphne Knuf-Stinis,"2457 YS, Leur",81774.93
413,IT,6,4,Elize Van Bragt,"4147 WG, Scheemda",81120.64
604,IT,59,49,Philip Mathurin-Recer,"Taraboulevard 05, 6128 XZ, Huisseling",81087.63
285,IT,36,19,Marijn Rubben,"Sennastraat 693, 2716 EW, Achtmaal",80658.63
128,IT,76,55,Vince van Berkel,"Aylinlaan 78, 5251 VO, Amen",80494.62
535,IT,69,41,Indy Wolters,"Maxbaan 148, 2462 VM, Firdgum",80363.94
355,IT,13,11,Giel de Backer,"4556 OX, Uitwellingerga",79834.3
871,IT,12,10,Amira de Bock,"Pleunboulevard 814, 3362 GF, Spanbroek",79504.45
341,IT,15,9,Lynn Noordijk,"Lorenzoring 02, 9181 YM, Opmeer",79267.58
841,IT,26,18,Eliza Oennen,"Chloésteeg 4, 2265 AI, Vortum-Mullem",79017.49
939,IT,66,62,Fabiënne van der Strigt,"Danielring 942, 9083 BL, Ossendrecht",78879.98
287,IT,14,8,Emma van Daal-Vos,"2375 JO, Dalem",78659.75
840,IT,31,21,Daan Meijer,"8539 JQ, Woltersum",78014.91
543,IT,23,12,Nikki de Bruyn-van Gemert,"Jortboulevard 5, 8771 AW, 't Goy",77682.26
9,IT,28,20,Aron Roukes,"7149 RI, Purmerend",75983.52
846,IT,14,7,Tygo van Maasgouw,"6885 VS, Nieuw Heeten",75905.01
417,IT,37,27,Joost van Gent,"6423 RG, Mookhoek",75894.88
1000,IT,30,18,Siem Broek,"Luukpad 54, 2173 FA, Oude-Tonge",75689.4
25,IT,31,26,Isabel Heribert van Laon,"9049 DM, Hollandscheveld",75313.03
623,IT,100,55,Lisanne van der Ploeg-Gerrits,"5033 UJ, Den Hout",74479.94
990,IT,45,42,Mart Romijn-Veltman,"Silkepad 279, 1099 RJ, Posterholt",74468.75
153,IT,9,7,Jamie Brandt,"5355 NV, Oirlo",73648.49
803,IT,31,29,Melle Kleybrink-Fremie,"1750 XJ, Meterik",73543.84
234,IT,58,30,Finn van der Laan,"1403 DS, Warder",73153.72
382,IT,43,23,Guus Fremie,"5108 KD, Boxmeer",72468.09
893,IT,16,8,Phileine Boer-van Buuren,"Dylandreef 0, 4620 JH, Guttecoven",71895.36
493,IT,15,11,Chloë van den Heuvel-Brandt,"6155 AJ, Emmeloord",71739.76
573,IT,66,47,Myrthe Unruoch Hunerik,"8628 MG, Banholt",71249.89
929,IT,64,53,Maxim Brandt,"8374 RG, Dalerveen",71095.8
946,IT,96,83,Ruben Rehorst-van der Laarse,"1061 QY, Peperga",70505.06
608,IT,72,67,Jonas Goedhart,"Kayleebaan 834, 3103 IN, Garderen",70502.63
860,IT,65,61,Esther Werdes,"4804 JX, Teerns",70426.24
665,IT,76,46,Elias Louws,"3381 TO, Niezijl",70307.29
192,IT,53,39,Luca van der Veen,"Stansingel 820, 2485 RE, Wadenoijen",69625.39
165,IT,67,50,Kyano Roodesteijn,"2090 NY, Loon",69557.92
